日期,开盘价,收盘价,最高价,最低价,单数,金额,均值,差率,净盈利率,未知
2022-09-09,4.14,4.12,4.18,4.09,175121,72071086.35,2.15,-1.44,-0.06,2.21
2022-09-13,4.11,4.20,4.22,4.10,218331,91324204.22,2.91,1.94,0.08,2.75
2022-09-14,4.16,4.30,4.30,4.13,394773,167813144.19,4.05,2.38,0.10,4.97
2022-09-15,4.47,4.36,4.49,4.30,569782,247997334.58,4.42,1.40,0.06,7.17
2022-09-16,4.28,4.05,4.29,4.02,351618,145704340.35,6.19,-7.11,-0.31,4.43
2022-09-19,3.92,3.82,3.96,3.77,291952,112249366.26,4.69,-5.68,-0.23,3.68
2022-09-20,3.90,4.20,4.20,3.85,173638,71330935.60,9.16,9.95,0.38,2.19
2022-09-21,4.25,4.29,4.51,4.23,725018,313490628.68,6.67,2.14,0.09,9.13
2022-09-22,4.29,4.17,4.38,4.16,388586,164336856.12,5.13,-2.80,-0.12,4.89
2022-09-23,4.19,4.01,4.23,4.01,260637,106872625.68,5.28,-3.84,-0.16,3.28
2022-09-26,4.01,3.97,4.12,3.95,195555,78707615.04,4.24,-1.00,-0.04,2.46
2022-09-27,3.96,4.07,4.12,3.96,202286,81793353.92,4.03,2.52,0.10,2.55
2022-09-28,4.08,3.91,4.11,3.90,173589,69008748.90,5.16,-3.93,-0.16,2.19
2022-09-29,3.94,3.82,4.02,3.81,164507,64091768.00,5.37,-2.30,-0.09,2.07
2022-09-30,3.84,3.80,3.86,3.78,120371,45946378.00,2.09,-0.52,-0.02,1.52
2022-10-10,3.80,3.65,3.85,3.62,157148,58171834.00,6.05,-3.95,-0.15,1.98
2022-10-11,3.64,3.73,3.74,3.62,116430,42881734.00,3.29,2.19,0.08,1.47
2022-10-12,3.75,3.79,3.79,3.64,133200,49578465.00,4.02,1.61,0.06,1.68
2022-10-13,3.79,3.79,3.83,3.74,128412,48631076.00,2.37,0.00,0.00,1.62
2022-10-14,3.83,3.83,3.88,3.81,142509,54838245.00,1.85,1.06,0.04,1.79
2022-10-17,3.83,3.91,3.92,3.80,141460,54826022.80,3.13,2.09,0.08,1.78
2022-10-18,3.92,3.89,3.93,3.86,104193,40567785.69,1.79,-0.51,-0.02,1.31
2022-10-19,3.91,3.88,3.92,3.85,101347,39402025.00,1.80,-0.26,-0.01,1.28
2022-10-20,3.84,3.90,3.96,3.82,140179,54658327.00,3.61,0.52,0.02,1.77
2022-10-21,3.92,3.87,3.96,3.86,115547,45179133.00,2.56,-0.77,-0.03,1.45
2022-10-24,3.95,3.79,4.03,3.78,179506,69908900.00,6.46,-2.07,-0.08,2.26
2022-10-25,3.76,3.78,3.81,3.70,136448,51286746.42,2.90,-0.26,-0.01,1.72
2022-10-26,3.78,3.91,3.95,3.76,165785,64420051.91,5.03,3.44,0.13,2.09
2022-10-27,3.90,3.92,3.98,3.89,130531,51300135.19,2.30,0.26,0.01,1.64
2022-10-28,3.88,3.66,3.88,3.64,232674,86760704.00,6.12,-6.63,-0.26,2.93
2022-10-31,3.66,3.69,3.72,3.59,133264,48740945.68,3.55,0.82,0.03,1.68
2022-11-01,3.69,3.84,3.84,3.68,171714,65020108.93,4.34,4.07,0.15,2.16
2022-11-02,3.86,3.84,3.93,3.82,202769,78621235.84,2.86,0.00,0.00,2.55
2022-11-03,3.81,3.79,3.87,3.76,191310,72663509.00,2.86,-1.30,-0.05,2.41
2022-11-04,3.76,3.88,3.90,3.76,192784,74363587.00,3.69,2.37,0.09,2.43
2022-11-07,3.88,3.96,3.97,3.87,187674,73715246.55,2.58,2.06,0.08,2.36
2022-11-08,3.98,4.00,4.00,3.91,151651,60053045.34,2.27,1.01,0.04,1.91
2022-11-09,3.98,4.03,4.06,3.98,153136,61659786.00,2.00,0.75,0.03,1.93
2022-11-10,4.03,4.06,4.16,3.96,204855,83545937.00,4.96,0.74,0.03,2.58
2022-11-11,4.12,4.03,4.17,4.02,190570,77647958.05,3.69,-0.74,-0.03,2.40
2022-11-14,4.03,3.96,4.06,3.94,157907,63025454.00,2.98,-1.74,-0.07,1.99
2022-11-15,3.96,3.99,4.02,3.94,122689,48870036.00,2.02,0.76,0.03,1.54
2022-11-16,3.98,4.05,4.12,3.98,183676,74423725.25,3.51,1.50,0.06,2.31
2022-11-17,4.27,4.09,4.38,4.01,504089,207953781.64,9.14,0.99,0.04,6.35
2022-11-18,4.09,4.50,4.50,4.06,769049,338837701.29,10.76,10.02,0.41,9.68
2022-11-21,4.44,4.28,4.44,4.21,1057986,454533654.18,5.11,-4.89,-0.22,13.32
2022-11-22,4.26,4.35,4.44,4.21,748413,323860115.52,5.37,1.64,0.07,9.42
2022-11-23,4.26,4.18,4.26,4.08,485162,201484379.89,4.14,-3.91,-0.17,6.11
2022-11-24,4.12,4.21,4.21,4.08,330283,136694436.39,3.11,0.72,0.03,4.16
2022-11-25,4.15,4.08,4.18,4.08,230384,94756616.97,2.38,-3.09,-0.13,2.90
2022-11-28,3.67,3.71,3.82,3.67,597053,221507261.23,3.68,-9.07,-0.37,7.52
2022-11-29,3.69,3.80,3.83,3.68,266773,100465666.58,4.04,2.43,0.09,3.36
2022-11-30,3.80,3.82,3.85,3.75,207413,78944116.00,2.63,0.53,0.02,2.61
2022-12-01,3.90,3.80,3.90,3.78,175634,67137103.00,3.14,-0.52,-0.02,2.21
2022-12-02,3.80,3.86,3.90,3.79,217700,84113800.25,2.89,1.58,0.06,2.74
2022-12-05,3.87,4.25,4.25,3.87,341952,143475067.25,9.84,10.10,0.39,4.31
2022-12-06,4.30,4.20,4.40,4.18,940049,402496404.43,5.18,-1.18,-0.05,11.84
2022-12-07,4.21,4.23,4.26,4.14,458509,193178111.06,2.86,0.71,0.03,5.77
2022-12-08,4.18,4.13,4.22,4.11,286154,118629324.13,2.60,-2.36,-0.10,3.60
2022-12-09,4.13,4.10,4.15,4.04,195921,79918566.64,2.66,-0.73,-0.03,2.47
2022-12-12,4.07,4.01,4.09,4.01,167881,67559504.92,1.95,-2.20,-0.09,2.11
2022-12-13,4.08,4.08,4.21,4.03,343760,141049453.00,4.49,1.75,0.07,4.33
2022-12-14,4.02,4.01,4.07,4.00,182852,73594334.00,1.72,-1.72,-0.07,2.30
2022-12-15,4.01,4.06,4.06,3.95,153776,61686996.96,2.74,1.25,0.05,1.94
2022-12-16,4.05,3.94,4.05,3.92,169399,67101293.45,3.20,-2.96,-0.12,2.13
2022-12-19,3.92,3.90,3.97,3.87,148062,57947338.00,2.54,-1.02,-0.04,1.86
2022-12-20,3.91,3.94,3.94,3.81,125916,48958789.00,3.33,1.03,0.04,1.59
2022-12-21,3.95,3.83,3.95,3.82,125007,48260662.00,3.30,-2.79,-0.11,1.57
2022-12-22,3.86,3.76,3.89,3.75,138727,52863392.00,3.66,-1.83,-0.07,1.75
2022-12-23,3.75,3.81,3.84,3.73,118847,45051674.02,2.93,1.33,0.05,1.50
2022-12-26,3.88,3.84,3.88,3.79,100577,38497388.99,2.36,0.79,0.03,1.27
2022-12-27,3.86,3.80,3.86,3.78,98887,37614495.20,2.08,-1.04,-0.04,1.25
2022-12-28,3.80,3.76,3.82,3.73,103714,39094900.00,2.37,-1.05,-0.04,1.31
2022-12-29,3.78,3.74,3.88,3.74,145044,55076803.00,3.72,-0.53,-0.02,1.83
2022-12-30,3.71,4.00,4.11,3.71,798017,324373463.70,10.70,6.95,0.26,10.05
